Code,Name,Model,Size,RACKNO,Sale_rate,GST_rate,Brand_name,Lingam_stock,Kumari_stock
"220219910","SHAFT; I/P; 800 & 900/200; GRI","","","I/ZONE4",29002,18,"ELGI ROCD SPARES",0,0
"220220150","COOLER ASSY O/C&A/C EH04075","","",null,217206,18,"ELGI ROCD SPARES",0,0
"220220570","COVER, O/L, 20/16, M/C","","",null,7360,5,"ELGI ROCD SPARES",0,0
"220230040","VALVE, BUTTERFLY, 2 1/2\"","","","",4049,18,"ELGI ROCD SPARES",0,0
"220244050","COOLER ASSY; O/C&A/C; EL07270","","",null,1171144,18,"ELGI ROCD SPARES",0,0
"220247100","RING; ADAPTER; 400DP","","",null,13459,18,"ELGI ROCD SPARES",0,0
"220249010","COOLER, OIL, 900/350 DPSAC","COPPER COOLER","",null,1007916,18,"ELGI ROCD SPARES",0,0
"220249020","COOLER, OIL, 750/250&/350, 900","","","",1112904,18,"ELGI ROCD SPARES",0,0
"220270390","ADAPTER ASSY; VENT TO COO","","",null,4637,5,"ELGI & ATS ELGI SPARES",0,0
"220270911","COOLER, OIL, 300DP","","",null,299564,18,"ELGI ROCD SPARES",0,0
"220270930","OC  AC ASSY AO 20S","","",null,896823,18,"ELGI ROCD SPARES",0,0
"220270970","SHROUD COOLING FAN E20 LMP","","",null,9811,18,"ELGI ROCD SPARES",0,0
"220271061","SHROUD; FAN; 22\"; 300DP; ALU37","","",null,3865,18,"ELGI ROCD SPARES",0,0
"220271439","ACTUATER KIT; DOUBLE ACTING","","","",1961,18,"ELGI ROCD SPARES",0,0
"220271909","KIT;ACTUATOR;SINGLE ACTING","","","I80/E",3995,18,"ELGI ROCD SPARES",0,4
"220272330","COOLER ASSY; OIL & AFTER;10-25","","","",149594,18,"ELGI ROCD SPARES",0,0
"220272370","COUPLING; FLEXMAST; 3 1/2\"; 2S","","",null,12342,18,"ELGI ROCD SPARES",0,0
"220272379","ELEMENT 3 1/2\" F M","","","",589,18,"ELGI ROCD SPARES",0,0
"220272410","COOLER ASSY; OIL; 12S; EPSAC","","",null,161212,18,"ELGI ROCD SPARES",0,0
"220272630","RING;ADAPTER;H300DP","","",null,16160,18,"ELGI ROCD SPARES",0,0
"220272770","VALVE ASSY; PR RELIEF; 1","DPSAC","",null,5420,5,"ELGI ROCD SPARES",0,-2
"220272940","PRECLEANER; 10S","","","",2337,18,"ELGI RCD SPARES",0,0
